manga_name,manga_slug,chapter_number,panel_count,expected_count,status,timestamp,error,cloudinary_folder
Dandadan,dandadan,111,19,19,success,2025-11-01T18:18:19.184510,,manga/dandadan/chapter-111
Dandadan,dandadan,112,17,17,success,2025-11-01T18:19:33.777500,,manga/dandadan/chapter-112
Dandadan,dandadan,113,19,19,success,2025-11-01T18:20:59.706741,,manga/dandadan/chapter-113
Dandadan,dandadan,114,18,18,success,2025-11-01T18:22:16.921269,,manga/dandadan/chapter-114
Dandadan,dandadan,115,16,16,success,2025-11-01T18:23:18.951581,,manga/dandadan/chapter-115
Dandadan,dandadan,116,22,22,success,2025-11-01T18:25:17.575895,,manga/dandadan/chapter-116
Dandadan,dandadan,117,17,17,success,2025-11-01T18:26:39.322519,,manga/dandadan/chapter-117
Dandadan,dandadan,118,17,17,success,2025-11-01T18:28:02.665542,,manga/dandadan/chapter-118
Dandadan,dandadan,119,18,18,success,2025-11-01T18:29:41.566819,,manga/dandadan/chapter-119
Dandadan,dandadan,120,21,21,success,2025-11-01T18:30:49.116012,,manga/dandadan/chapter-120
Dandadan,dandadan,121,19,19,success,2025-11-01T18:32:15.003376,,manga/dandadan/chapter-121
Dandadan,dandadan,122,19,19,success,2025-11-01T18:33:11.083662,,manga/dandadan/chapter-122
Dandadan,dandadan,123,19,19,success,2025-11-01T18:34:12.630603,,manga/dandadan/chapter-123
Dandadan,dandadan,124,21,21,success,2025-11-01T18:36:20.237973,,manga/dandadan/chapter-124
Dandadan,dandadan,125,17,17,success,2025-11-01T18:37:34.930440,,manga/dandadan/chapter-125
Dandadan,dandadan,126,19,19,success,2025-11-01T18:39:01.885835,,manga/dandadan/chapter-126
Dandadan,dandadan,127,16,16,success,2025-11-01T18:40:06.149303,,manga/dandadan/chapter-127
Dandadan,dandadan,128,21,21,success,2025-11-01T18:42:46.863633,,manga/dandadan/chapter-128
Dandadan,dandadan,129,18,18,success,2025-11-01T18:43:45.393415,,manga/dandadan/chapter-129
Dandadan,dandadan,130,19,19,success,2025-11-01T18:45:01.715260,,manga/dandadan/chapter-130
Dandadan,dandadan,131,19,19,success,2025-11-01T18:46:22.634164,,manga/dandadan/chapter-131
Dandadan,dandadan,132,18,18,success,2025-11-01T18:47:42.122439,,manga/dandadan/chapter-132
Dandadan,dandadan,133,19,19,success,2025-11-01T18:49:13.131477,,manga/dandadan/chapter-133
Dandadan,dandadan,134,19,19,success,2025-11-01T18:50:14.913015,,manga/dandadan/chapter-134
Dandadan,dandadan,135,17,17,success,2025-11-01T18:51:29.477135,,manga/dandadan/chapter-135
Dandadan,dandadan,136,17,17,success,2025-11-01T18:52:43.516663,,manga/dandadan/chapter-136
Dandadan,dandadan,137,18,18,success,2025-11-01T18:53:53.782780,,manga/dandadan/chapter-137
Dandadan,dandadan,138,18,18,success,2025-11-01T18:55:09.587404,,manga/dandadan/chapter-138
Dandadan,dandadan,139,18,18,success,2025-11-01T22:03:43.080715,,manga/dandadan/chapter-139
Dandadan,dandadan,140,19,19,success,2025-11-01T18:58:41.399262,,manga/dandadan/chapter-140
Dandadan,dandadan,141,17,17,success,2025-11-01T18:59:56.809803,,manga/dandadan/chapter-141
Dandadan,dandadan,142,19,19,success,2025-11-01T19:01:07.476969,,manga/dandadan/chapter-142
Dandadan,dandadan,143,19,19,success,2025-11-01T19:02:09.037000,,manga/dandadan/chapter-143
