filename,public_id,folder,url,cloudinary_url,format,width,height,size_kb,created_at,resource_type
panel-001_ldyrco,panel-001_ldyrco,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223339/panel-001_ldyrco.jpg,cloudinary://dk9ywbxu1/image/upload/panel-001_ldyrco,jpg,720,6000,223,2025-10-23T12:42:19Z,image
panel-015_id0t8u,panel-015_id0t8u,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223337/panel-015_id0t8u.jpg,cloudinary://dk9ywbxu1/image/upload/panel-015_id0t8u,jpg,720,6000,325,2025-10-23T12:42:17Z,image
panel-013_whduym,panel-013_whduym,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223337/panel-013_whduym.jpg,cloudinary://dk9ywbxu1/image/upload/panel-013_whduym,jpg,720,5584,323,2025-10-23T12:42:17Z,image
panel-018_gbvcrg,panel-018_gbvcrg,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223337/panel-018_gbvcrg.jpg,cloudinary://dk9ywbxu1/image/upload/panel-018_gbvcrg,jpg,720,6426,235,2025-10-23T12:42:17Z,image
panel-019_vkdxsy,panel-019_vkdxsy,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223337/panel-019_vkdxsy.jpg,cloudinary://dk9ywbxu1/image/upload/panel-019_vkdxsy,jpg,720,5315,205,2025-10-23T12:42:17Z,image
panel-020_rstir0,panel-020_rstir0,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223337/panel-020_rstir0.jpg,cloudinary://dk9ywbxu1/image/upload/panel-020_rstir0,jpg,720,5169,258,2025-10-23T12:42:17Z,image
panel-017_dmue8j,panel-017_dmue8j,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223335/panel-017_dmue8j.jpg,cloudinary://dk9ywbxu1/image/upload/panel-017_dmue8j,jpg,720,5413,188,2025-10-23T12:42:15Z,image
panel-014_ecfwfr,panel-014_ecfwfr,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223334/panel-014_ecfwfr.jpg,cloudinary://dk9ywbxu1/image/upload/panel-014_ecfwfr,jpg,720,4777,303,2025-10-23T12:42:14Z,image
panel-012_zusocl,panel-012_zusocl,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223334/panel-012_zusocl.jpg,cloudinary://dk9ywbxu1/image/upload/panel-012_zusocl,jpg,720,5730,192,2025-10-23T12:42:14Z,image
panel-008_cz1fl7,panel-008_cz1fl7,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223333/panel-008_cz1fl7.jpg,cloudinary://dk9ywbxu1/image/upload/panel-008_cz1fl7,jpg,720,5999,394,2025-10-23T12:42:13Z,image
panel-011_xjsjvf,panel-011_xjsjvf,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223333/panel-011_xjsjvf.jpg,cloudinary://dk9ywbxu1/image/upload/panel-011_xjsjvf,jpg,720,6242,408,2025-10-23T12:42:13Z,image
panel-010_ziwv5m,panel-010_ziwv5m,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223332/panel-010_ziwv5m.jpg,cloudinary://dk9ywbxu1/image/upload/panel-010_ziwv5m,jpg,720,5593,341,2025-10-23T12:42:12Z,image
