manga_name,chapter_number,chapter_name,panel_count,folder_path,scraped_at
One Piece,048,chapter-048,19,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-048,2025-10-27 21:45:06
One Piece,049,chapter-049,19,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-049,2025-10-27 21:45:06
One Piece,050,chapter-050,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-050,2025-10-27 21:45:06
One Piece,051,chapter-051,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-051,2025-10-27 21:45:06
One Piece,052,chapter-052,22,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-052,2025-10-27 21:45:06
One Piece,053,chapter-053,23,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-053,2025-10-27 21:45:06
One Piece,054,chapter-054,26,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-054,2025-10-27 21:45:06
One Piece,055,chapter-055,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-055,2025-10-27 21:45:06
One Piece,056,chapter-056,22,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-056,2025-10-27 21:45:06
One Piece,057,chapter-057,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-057,2025-10-27 21:45:06
One Piece,058,chapter-058,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-058,2025-10-27 21:45:06
One Piece,059,chapter-059,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-059,2025-10-27 21:45:06
One Piece,060,chapter-060,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-060,2025-10-27 21:45:06
One Piece,061,chapter-061,22,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-061,2025-10-27 21:45:06
One Piece,062,chapter-062,21,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-062,2025-10-27 21:45:06
One Piece,063,chapter-063,25,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-063,2025-10-27 21:45:06
One Piece,064,chapter-064,19,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-064,2025-10-27 21:45:06
One Piece,065,chapter-065,19,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-065,2025-10-27 21:45:06
One Piece,066,chapter-066,19,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-066,2025-10-27 21:45:06
One Piece,067,chapter-067,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-067,2025-10-27 21:45:06
One Piece,068,chapter-068,19,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-068,2025-10-27 21:45:06
One Piece,069,chapter-069,22,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-069,2025-10-27 21:45:06
One Piece,070,chapter-070,22,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-070,2025-10-27 21:45:06
One Piece,071,chapter-071,22,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-071,2025-10-27 21:45:06
One Piece,072,chapter-072,26,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-072,2025-10-27 21:45:06
One Piece,073,chapter-073,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-073,2025-10-27 21:45:06
One Piece,074,chapter-074,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-074,2025-10-27 21:45:06
One Piece,075,chapter-075,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-075,2025-10-27 21:45:06
One Piece,076,chapter-076,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-076,2025-10-27 21:45:06
One Piece,077,chapter-077,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-077,2025-10-27 21:45:06
One Piece,078,chapter-078,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-078,2025-10-27 21:45:06
One Piece,079,chapter-079,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-079,2025-10-27 21:45:06
One Piece,080,chapter-080,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-080,2025-10-27 21:45:06
One Piece,081,chapter-081,21,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-081,2025-10-27 21:45:06
One Piece,082,chapter-082,27,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-082,2025-10-27 21:45:06
One Piece,083,chapter-083,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-083,2025-10-27 21:45:06
